OrderedID,ZLocation,Z,ZGeocode_na,Zlat,Zlon,UR2022_V1,UR2022_V_1,UR2022_V_2,IUR2022_V1,IUR2022_1,LAND_AREA,AREA_SQ_KM,Shape_Leng,Xcoordinate,Ycoordinate
182,Fairlie,0.24,Fairlie,-44.097582,170.8289409,2169,Fairlie,Fairlie,21,Rural settlement,4.95329511,4.95329511,14093.056021133,170.8253627,-44.0970118349999
183,Temuka,0.17,Temuka,-44.2439593,171.2797349,2158,Temuka,Temuka,14,Small urban area,8.35436879,8.35436879,16034.5891560928,171.287500144,-44.242229564
184,,,,,,2156,Pleasant Point,Pleasant Point,14,Small urban area,5.20894215,5.20894215,11261.9431982347,171.136008497,-44.256621332
185,Twizel,0.27,Twizel,-44.257483,170.0994145,2168,Twizel,Twizel,14,Small urban area,21.07704588,21.07704588,29383.8550370073,170.096371222,-44.2677395499999
186,Timaru,0.15,Timaru,-44.3930254,171.2509786,2161,Timaru,Timaru,13,Medium urban area,33.98354733,34.11948667,51420.835382847,171.230503614,-44.378587341
187,,,,,,2213,Lake Hāwea,Lake Hawea,14,Small urban area,2.39122281,2.39122281,6985.63689653929,169.266770371,-44.613874863
188,Milford Sound,0.54,Milford Sound,-44.67184,167.9254592,,Milford Sound,Milford Sound,,Urban,0,0,0,167.925045295,-44.672846547
189,Wanaka,0.30�,Wanaka�,-44.6941691,169.1364637,2212,Wānaka,Wanaka,14,Small urban area,28.61178542,28.61178542,31192.4101802876,169.147588565,-44.689929585
190,Waimate,0.14,Waimate,-44.7338811,171.042339,2174,Waimate,Waimate,14,Small urban area,8.00809457,8.00809457,12533.4099640991,171.046956837,-44.730826782
191,Arrowtown,0.30,Arrowtown,-44.9405627,168.8350761,2216,Arrowtown,Arrowtown,14,Small urban area,2.36226108,2.36226108,7695.81800160063,168.831756662,-44.9430434129999
192,,,,,,2211,Arthurs Point,Arthurs Point,14,Small urban area,5.52326432,5.52326432,16196.374958422,168.673269789,-44.989244603
193,,,,,,2218,Lake Hayes,Lake Hayes,14,Small urban area,10.89573717,10.89573717,24660.1840710182,168.802136495,-44.9906904329999
194,Queenstown,0.32,Queenstown,-45.0321923,168.661,2217,Queenstown,Queenstown,13,Medium urban area,28.35995671,28.35995671,62704.2486852731,168.7186947,-45.022986502
195,Cromwell,0.24,Cromwell,-45.0371308,169.1972881,2195,Cromwell,Cromwell,14,Small urban area,15.62763283,15.62763283,21644.099187318,169.181778878,-45.0536837939999
196,Oamaru,0.13,Oamaru,-45.0997681,170.9684232,2187,Oamaru,Oamaru,13,Medium urban area,21.46050044,21.46050044,40072.7338890147,170.970566373,-45.084553182
197,,,,,,2197,Clyde,Clyde,14,Small urban area,2.08072882,2.08072882,6821.54314771519,169.32444825,-45.192465278
198,Alexandra,0.21,Alexandra,-45.2535683,169.3870836,2200,Alexandra,Alexandra,14,Small urban area,9.7604017,9.7604017,17986.8533652857,169.382417599,-45.248111259
199,Te Anau,0.36,Te Anau,-45.41449,167.717489,2255,Te Ānau,Te Anau,14,Small urban area,5.57469753,5.57469753,12347.3339401299,167.723207379,-45.413520874
200,Palmerston,0.13,Palmerston,-45.4842441,170.715319,2193,Palmerston,Palmerston,21,Rural settlement,8.77144674,8.77144674,13988.37376254,170.709541446,-45.481473288
201,,,,,,2225,Waikouaiti,Waikouaiti,14,Small urban area,7.32830262,7.32830262,19230.5871375619,170.677701915,-45.600102002
202,Mosgiel,0.13,Mosgiel,-45.8749828,170.347348,2229,Mosgiel,Mosgiel,13,Medium urban area,16.9661162,16.9661162,24909.4588837344,170.367548721,-45.873290138
203,Dunedin,0.13,Dunedin,-45.8740984,170.5035755,2233,Dunedin,Dunedin,11,Major urban area,91.56835509,91.56835509,143277.994283663,170.5035755,-45.8740984
204,,,,,,2232,Brighton,Brighton,14,Small urban area,3.39818931,3.39818931,18173.7226884162,170.357768873,-45.9375371849999
205,Gore,0.18,Gore,-46.0984482,168.9447811,2275,Gore,Gore,14,Small urban area,13.76212629,13.76212629,26048.0530992429,168.93871351,-46.102768081
206,,,,,,2246,Milton,Milton,14,Small urban area,4.16430254,4.16430254,13867.0882508534,169.967506168,-46.121674589
207,Winton,0.20,Winton,-46.141439,168.3239863,2266,Winton,Winton,14,Small urban area,3.07718766,3.07718766,10101.0317920955,168.323825389,-46.144846113
208,Mataura,0.17,Mataura,-46.192734,168.8642685,2276,Mataura,Mataura,14,Small urban area,5.32047517,5.32047517,16466.1743165276,168.873280948,-46.1874340599999
209,Balclutha,0.13,Balclutha,-46.24078,169.736157,2243,Balclutha,Balclutha,14,Small urban area,7.54736528,7.54736528,15752.3615254237,169.740122067,-46.238375146
210,Riverton,0.20,Riverton,-46.3509977,168.0202689,2268,Riverton,Riverton,14,Small urban area,8.74470214,8.74470214,22302.8673478227,168.015132049,-46.3649072219999
211,Invercargill,0.17,Invercargill,-46.4118465,168.3470632,2278,Invercargill,Invercargill,12,Large urban area,60.69698962,60.69698962,61451.8204868393,168.3470632,-46.4118465
212,Bluff,0.15,Bluff,-46.6014038,168.3398682,2281,Bluff,Bluff,14,Small urban area,10.09864687,10.09864687,24977.6299088144,168.332240825,-46.607241286
213,Oban,0.14,Oban,-46.8979908,168.1283778,2273,Oban,Oban,21,Rural settlement,2.5906109,2.5906109,16241.1481107075,168.135742959,-46.901417309
